scope,metric,month,pearson_raw,months
Zambales-Luzon,volume_mt,2024-05-01,-0.6643725574257058,24
Zambales-Luzon,shipments,2024-06-01,-0.669205051538247,24
Zambales-Luzon,volume_mt,2024-06-01,-0.669144213023404,24
Zambales-Luzon,shipments,2024-07-01,-0.6814465916304372,24
Zambales-Luzon,volume_mt,2024-07-01,-0.6819843849694365,24
Zambales-Luzon,shipments,2024-08-01,-0.6384634221851642,24
Zambales-Luzon,volume_mt,2024-08-01,-0.6400737346376929,24
Zambales-Luzon,shipments,2024-09-01,-0.618706740143744,24
Zambales-Luzon,volume_mt,2024-09-01,-0.6190350665047791,24
Zambales-Luzon,shipments,2024-10-01,-0.6412289979029863,24
Zambales-Luzon,volume_mt,2024-10-01,-0.6381891371130823,24
Zambales-Luzon,shipments,2024-11-01,-0.6297094474449434,24
Zambales-Luzon,volume_mt,2024-11-01,-0.6270719838515821,24
Zambales-Luzon,shipments,2024-12-01,-0.6175944843686317,24
Zambales-Luzon,volume_mt,2024-12-01,-0.6136510235999405,24
Zambales-Luzon,shipments,2025-01-01,-0.633990025352056,24
Zambales-Luzon,volume_mt,2025-01-01,-0.6295855614032799,24
Zambales-Luzon,shipments,2025-02-01,-0.6238178910190268,24
Zambales-Luzon,volume_mt,2025-02-01,-0.6187599463419657,24
Zambales-Luzon,shipments,2025-03-01,-0.6253491628940583,24
