scope,metric,week_start,pearson_raw,weeks
Surigao-Dinagat-Caraga,shipments,2024-09-02,-0.14287496120829488,52
Surigao-Dinagat-Caraga,volume_mt,2024-09-02,-0.1396208580439699,52
Surigao-Dinagat-Caraga,shipments,2024-09-09,-0.16838057552734792,52
Surigao-Dinagat-Caraga,volume_mt,2024-09-09,-0.16394665792603408,52
Surigao-Dinagat-Caraga,shipments,2024-09-16,-0.16285129028935,52
Surigao-Dinagat-Caraga,volume_mt,2024-09-16,-0.15853456638440908,52
Surigao-Dinagat-Caraga,shipments,2024-09-23,-0.15453880015943508,52
Surigao-Dinagat-Caraga,volume_mt,2024-09-23,-0.14966289026471907,52
Surigao-Dinagat-Caraga,shipments,2024-09-30,-0.15232984877418573,52
Surigao-Dinagat-Caraga,volume_mt,2024-09-30,-0.14759514519947622,52
Surigao-Dinagat-Caraga,shipments,2024-10-07,-0.15429833457677142,52
Surigao-Dinagat-Caraga,volume_mt,2024-10-07,-0.14975239458234474,52
Surigao-Dinagat-Caraga,shipments,2024-10-14,-0.1662807981992222,52
Surigao-Dinagat-Caraga,volume_mt,2024-10-14,-0.16160323083058228,52
Surigao-Dinagat-Caraga,shipments,2024-10-21,-0.17215902963610755,52
Surigao-Dinagat-Caraga,volume_mt,2024-10-21,-0.16938194150253186,52
Surigao-Dinagat-Caraga,shipments,2024-10-28,-0.166737984351445,52
Surigao-Dinagat-Caraga,volume_mt,2024-10-28,-0.1652968769347691,52
Surigao-Dinagat-Caraga,shipments,2024-11-04,-0.1597433985926828,52
Surigao-Dinagat-Caraga,volume_mt,2024-11-04,-0.15787168349505137,52
Surigao-Dinagat-Caraga,shipments,2024-11-11,-0.1011576385924971,52
Surigao-Dinagat-Caraga,volume_mt,2024-11-11,-0.09883936913081864,52
Surigao-Dinagat-Caraga,shipments,2024-11-18,-0.09675644482226274,52
Surigao-Dinagat-Caraga,volume_mt,2024-11-18,-0.09453586555910333,52
